                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                0.47282,                0.56585,                 1.0324,                0.91962,                0.91935,                0.96337,                 0.9058,                 0.3727,                0.40467,                0.87758,               0.004126,               0.004126,               0.004126
                     91,                0.46725,                0.56488,                 1.0241,                0.92549,                0.91979,                0.96339,                0.90631,                0.37607,                 0.4072,                0.87961,                0.00406,                0.00406,                0.00406
                     92,                0.46113,                0.56001,                 1.0287,                 0.9351,                0.90689,                0.96231,                0.90621,                0.37298,                0.41428,                0.87657,               0.003994,               0.003994,               0.003994
                     93,                0.45951,                0.53991,                 1.0194,                0.93234,                0.90709,                0.96323,                0.90682,                0.35421,                0.40598,                0.86879,               0.003928,               0.003928,               0.003928
                     94,                0.45674,                0.53691,                 1.0219,                0.91543,                0.91663,                0.96214,                0.90526,                0.36629,                 0.4079,                0.87764,               0.003862,               0.003862,               0.003862
                     95,                0.46061,                 0.5479,                 1.0247,                0.91683,                0.92335,                0.96271,                0.90666,                0.36929,                0.40113,                0.87803,               0.003796,               0.003796,               0.003796
                     96,                0.45623,                0.53878,                 1.0187,                 0.9279,                0.91208,                0.96414,                0.91158,                0.36098,                0.38226,                0.87119,                0.00373,                0.00373,                0.00373
                     97,                0.45331,                0.54764,                 1.0181,                0.93838,                0.89882,                0.96304,                0.90751,                0.35839,                0.39658,                0.87112,               0.003664,               0.003664,               0.003664
                     98,                0.44694,                0.52276,                 1.0123,                 0.9197,                0.91888,                0.96288,                0.91024,                0.36102,                0.39548,                0.86957,               0.003598,               0.003598,               0.003598
                     99,                0.45209,                0.53201,                 1.0159,                0.93478,                0.90224,                0.96387,                0.90676,                0.35892,                0.39658,                0.87065,               0.003532,               0.003532,               0.003532
                    100,                0.44539,                0.52652,                 1.0138,                0.93864,                0.91924,                0.96462,                  0.908,                0.36401,                0.38766,                0.87513,               0.003466,               0.003466,               0.003466
                    101,                 0.4494,                0.51795,                 1.0148,                0.92385,                0.92963,                0.96542,                0.90906,                 0.3641,                0.38435,                 0.8714,                 0.0034,                 0.0034,                 0.0034
                    102,                0.44248,                0.51224,                 1.0132,                0.92201,                0.92544,                0.96457,                0.90717,                0.37481,                0.38204,                0.87435,               0.003334,               0.003334,               0.003334
                    103,                0.44217,                0.52069,                 1.0111,                0.91896,                0.92747,                0.96564,                0.91277,                0.36143,                0.38364,                0.87037,               0.003268,               0.003268,               0.003268
                    104,                0.44346,                0.50594,                 1.0118,                0.92336,                0.92508,                0.96572,                 0.9137,                0.35597,                0.37808,                0.86808,               0.003202,               0.003202,               0.003202
                    105,                0.43659,                0.49124,                 1.0113,                0.93325,                0.91756,                0.96651,                0.91365,                0.35916,                0.37428,                0.87055,               0.003136,               0.003136,               0.003136
                    106,                0.43689,                0.50716,                 1.0074,                0.93169,                0.92307,                0.96892,                0.91674,                0.35667,                 0.3646,                0.86589,                0.00307,                0.00307,                0.00307
                    107,                0.43366,                0.49679,                 1.0066,                0.92589,                 0.9328,                0.96722,                0.91192,                0.36382,                0.37711,                0.87547,               0.003004,               0.003004,               0.003004
                    108,                0.43849,                0.49476,                 1.0061,                0.91574,                0.93368,                0.96797,                0.91461,                0.35877,                0.36805,                0.86938,               0.002938,               0.002938,               0.002938
                    109,                0.43533,                0.49638,                 1.0058,                0.93232,                0.91686,                0.96346,                0.91429,                0.35751,                0.38079,                0.86435,               0.002872,               0.002872,               0.002872
                    110,                0.43586,                0.48922,                 1.0053,                0.92592,                0.93454,                0.96601,                0.91621,                 0.3498,                0.37356,                 0.8619,               0.002806,               0.002806,               0.002806
                    111,                0.43164,                 0.4895,                 1.0049,                0.93167,                0.92761,                0.96613,                0.91811,                0.35731,                0.37924,                 0.8637,                0.00274,                0.00274,                0.00274
                    112,                0.43316,                0.48006,                 1.0031,                0.94019,                0.91886,                0.96741,                 0.9187,                0.35745,                0.37762,                0.86366,               0.002674,               0.002674,               0.002674
                    113,                0.43532,                0.48193,                 1.0075,                0.93034,                0.92545,                0.96735,                0.91698,                0.35511,                0.37437,                0.86224,               0.002608,               0.002608,               0.002608
                    114,                0.42469,                0.46935,                0.99929,                0.91839,                0.93912,                0.96769,                0.91899,                0.34747,                0.36635,                0.86208,               0.002542,               0.002542,               0.002542
                    115,                0.42219,                0.47302,                  1.002,                0.93384,                0.91654,                0.96703,                0.91865,                0.35274,                 0.3713,                0.86584,               0.002476,               0.002476,               0.002476
                    116,                0.42797,                0.47749,                0.99998,                0.92829,                0.91715,                0.96451,                0.91469,                0.34812,                0.37843,                0.86471,                0.00241,                0.00241,                0.00241
                    117,                0.41998,                0.47093,                0.99781,                0.93699,                0.91172,                 0.9641,                0.91408,                 0.3515,                0.36907,                0.86706,               0.002344,               0.002344,               0.002344
                    118,                 0.4197,                0.46668,                0.99933,                 0.9376,                0.91056,                  0.966,                0.91719,                0.34569,                0.37101,                0.86487,               0.002278,               0.002278,               0.002278
                    119,                0.42515,                0.46007,                0.99761,                0.94205,                0.91126,                0.96621,                0.91647,                0.34655,                0.36878,                0.86364,               0.002212,               0.002212,               0.002212
                    120,                0.41584,                0.46095,                0.99856,                0.94049,                0.91463,                0.96648,                0.91651,                0.34553,                0.36187,                0.86145,               0.002146,               0.002146,               0.002146
                    121,                0.41325,                0.45185,                0.99195,                 0.9424,                0.91533,                0.96738,                0.91691,                0.35063,                0.36424,                0.86325,                0.00208,                0.00208,                0.00208
                    122,                0.41882,                0.45784,                0.99776,                 0.9455,                0.91588,                0.96784,                 0.9205,                0.34132,                0.36157,                0.85629,               0.002014,               0.002014,               0.002014
                    123,                 0.4179,                0.45535,                0.99625,                 0.9434,                0.91459,                0.96796,                0.91967,                0.34339,                0.36032,                0.85724,               0.001948,               0.001948,               0.001948
                    124,                0.40597,                 0.4444,                0.99042,                0.94527,                0.92334,                0.96947,                0.92138,                0.34148,                0.35847,                0.85741,               0.001882,               0.001882,               0.001882
                    125,                0.41038,                0.44992,                0.99716,                0.94264,                0.92498,                0.96915,                0.92132,                 0.3407,                0.36184,                0.85661,               0.001816,               0.001816,               0.001816
                    126,                 0.4128,                0.45196,                0.99069,                0.94495,                0.92306,                0.96826,                 0.9203,                0.34205,                0.36324,                0.85931,                0.00175,                0.00175,                0.00175
                    127,                0.40911,                0.43789,                0.99024,                0.93826,                0.92331,                 0.9691,                0.92256,                0.34331,                0.36364,                0.85806,               0.001684,               0.001684,               0.001684
                    128,                0.40783,                0.43978,                0.99195,                0.94573,                0.91943,                0.96892,                0.92433,                0.33688,                0.35234,                0.85601,               0.001618,               0.001618,               0.001618
                    129,                0.40934,                0.43287,                0.99237,                0.94036,                0.92554,                0.96927,                0.92254,                0.33551,                0.34751,                0.85522,               0.001552,               0.001552,               0.001552
                    130,                0.40895,                0.43041,                0.99462,                0.94301,                0.92366,                0.96989,                0.92275,                0.33565,                0.35018,                0.85427,               0.001486,               0.001486,               0.001486
                    131,                0.41288,                0.43019,                 0.9939,                0.92812,                0.93645,                0.96997,                0.92113,                0.33658,                0.35168,                0.85563,                0.00142,                0.00142,                0.00142
                    132,                0.40224,                0.42772,                 0.9911,                0.94066,                0.92518,                0.96976,                0.92161,                 0.3418,                0.35088,                  0.858,               0.001354,               0.001354,               0.001354
                    133,                0.40754,                0.42977,                0.99166,                0.93395,                0.92221,                0.96882,                0.92092,                0.34542,                0.35671,                0.85855,               0.001288,               0.001288,               0.001288
                    134,                0.40579,                0.42931,                0.99354,                0.93085,                0.93028,                0.96896,                0.92205,                0.34197,                0.35375,                0.85675,               0.001222,               0.001222,               0.001222
