                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                0.98649,                0.94383,                 1.4601,                0.86315,                0.86678,                0.92564,                0.69353,                 1.0308,                0.77379,                 1.8217,              0.0044725,              0.0044725,              0.0044725
                     69,                0.94805,                0.93843,                 1.4352,                  0.913,                0.84615,                0.93877,                0.69992,                 1.0088,                0.74196,                 1.7974,                0.00439,                0.00439,                0.00439
                     70,                0.95086,                0.94849,                 1.4432,                0.89072,                0.86853,                0.92966,                0.69346,                 1.0113,                0.74273,                  1.811,              0.0043075,              0.0043075,              0.0043075
                     71,                0.95254,                0.92355,                 1.4448,                0.90552,                0.85212,                0.93455,                 0.6853,                 1.0109,                0.73812,                 1.7817,               0.004225,               0.004225,               0.004225
                     72,                0.96746,                0.91891,                 1.4446,                0.90855,                0.86018,                0.93436,                0.69116,                 1.0179,                0.73839,                 1.7805,              0.0041425,              0.0041425,              0.0041425
                     73,                0.93772,                0.91613,                 1.4304,                0.87053,                0.90444,                 0.9439,                0.69883,                  1.017,                0.72915,                 1.7852,                0.00406,                0.00406,                0.00406
                     74,                0.94377,                0.89939,                  1.435,                 0.8796,                0.88363,                0.93622,                0.69813,                  1.035,                0.74477,                 1.8234,              0.0039775,              0.0039775,              0.0039775
                     75,                0.94795,                0.91812,                 1.4353,                0.87172,                 0.8828,                0.93296,                0.69391,                 1.0182,                0.73353,                    1.8,               0.003895,               0.003895,               0.003895
                     76,                0.94036,                0.88071,                 1.4376,                0.86529,                0.91364,                 0.9478,                0.70665,                0.99739,                0.67605,                 1.7724,              0.0038125,              0.0038125,              0.0038125
                     77,                0.94032,                0.89177,                 1.4291,                0.90304,                0.88402,                0.94584,                0.69811,                  1.034,                0.70801,                  1.799,                0.00373,                0.00373,                0.00373
                     78,                0.92159,                0.86584,                 1.4163,                0.88368,                0.91103,                0.94299,                0.69606,                0.98937,                0.70892,                 1.7766,              0.0036475,              0.0036475,              0.0036475
                     79,                0.94016,                0.86218,                 1.4309,                0.91121,                0.88752,                0.94268,                 0.7107,                0.96533,                0.67886,                 1.7362,               0.003565,               0.003565,               0.003565
                     80,                 0.9309,                0.86632,                 1.4226,                0.88798,                0.90098,                0.94411,                0.71917,                0.96279,                0.70538,                 1.7368,              0.0034825,              0.0034825,              0.0034825
                     81,                0.92512,                0.85057,                 1.4239,                0.86946,                0.90239,                0.94306,                0.70149,                 1.0019,                0.71936,                 1.7836,                 0.0034,                 0.0034,                 0.0034
                     82,                0.91946,                0.82709,                 1.4085,                0.90426,                0.89612,                0.94714,                0.69955,                0.98688,                0.68492,                 1.7673,              0.0033175,              0.0033175,              0.0033175
